Node Path,Node Address,Access Level,Data Type
/Objects/Server/ServerConfiguration/CertificateGroups/DefaultApplicationGroup/TrustList/RemoveCertificate/InputArguments,n=0;i=12671,currentRead,Argument
/Objects/Server/ServerConfiguration/CertificateGroups/DefaultApplicationGroup/TrustList/SetPosition,n=0;,,
/Objects/Server/ServerConfiguration/CertificateGroups/DefaultApplicationGroup/TrustList/SetPosition/InputArguments,n=0;i=12661,currentRead,Argument
/Objects/Server/ServerConfiguration/CertificateGroups/DefaultApplicationGroup/TrustList/Size,n=0;i=12643,currentRead,UInt64
/Objects/Server/ServerConfiguration/CertificateGroups/DefaultApplicationGroup/TrustList/UserWritable,n=0;i=14158,currentRead,Boolean
/Objects/Server/ServerConfiguration/CertificateGroups/DefaultApplicationGroup/TrustList/Writable,n=0;i=14157,currentRead,Boolean
/Objects/Server/ServerConfiguration/CertificateGroups/DefaultApplicationGroup/TrustList/Write,n=0;,,
/Objects/Server/ServerConfiguration/CertificateGroups/DefaultApplicationGroup/TrustList/Write/InputArguments,n=0;i=12656,currentRead,Argument
/Objects/Server/ServerConfiguration/CreateSigningRequest,n=0;,,
/Objects/Server/ServerConfiguration/CreateSigningRequest/InputArguments,n=0;i=12738,currentRead,Argument
/Objects/Server/ServerConfiguration/CreateSigningRequest/OutputArguments,n=0;i=12739,currentRead,Argument
/Objects/Server/ServerConfiguration/GetRejectedList,n=0;,,
/Objects/Server/ServerConfiguration/GetRejectedList/OutputArguments,n=0;i=12778,currentRead,Argument
/Objects/Server/ServerConfiguration/MaxTrustListSize,n=0;i=12640,currentRead,UInt32
/Objects/Server/ServerConfiguration/MulticastDnsEnabled,n=0;i=12641,currentRead,Boolean
/Objects/Server/ServerConfiguration/ServerCapabilities,n=0;i=12710,currentRead,String
/Objects/Server/ServerConfiguration/SupportedPrivateKeyFormats,n=0;i=12639,currentRead,String
/Objects/Server/ServerConfiguration/UpdateCertificate,n=0;,,
/Objects/Server/ServerConfiguration/UpdateCertificate/InputArguments,n=0;i=13738,currentRead,Argument
/Objects/Server/ServerConfiguration/UpdateCertificate/OutputArguments,n=0;i=13739,currentRead,Argument
/Objects/Server/ServerDiagnostics,n=0;,,
/Objects/Server/ServerDiagnostics/EnabledFlag,n=0;i=2294,currentRead,Boolean
/Objects/Server/ServerDiagnostics/ServerDiagnosticsSummary,n=0;i=2275,currentRead,ServerDiagnosticsSummaryDataType
/Objects/Server/ServerDiagnostics/ServerDiagnosticsSummary/CumulatedSessionCount,n=0;i=2278,currentRead,UInt32
/Objects/Server/ServerDiagnostics/ServerDiagnosticsSummary/CumulatedSubscriptionCount,n=0;i=2286,currentRead,UInt32
/Objects/Server/ServerDiagnostics/ServerDiagnosticsSummary/CurrentSessionCount,n=0;i=2277,currentRead,UInt32
/Objects/Server/ServerDiagnostics/ServerDiagnosticsSummary/CurrentSubscriptionCount,n=0;i=2285,currentRead,UInt32
/Objects/Server/ServerDiagnostics/ServerDiagnosticsSummary/PublishingIntervalCount,n=0;i=2284,currentRead,UInt32
/Objects/Server/ServerDiagnostics/ServerDiagnosticsSummary/RejectedRequestsCount,n=0;i=2288,currentRead,UInt32
/Objects/Server/ServerDiagnostics/ServerDiagnosticsSummary/RejectedSessionCount,n=0;i=3705,currentRead,UInt32
/Objects/Server/ServerDiagnostics/ServerDiagnosticsSummary/SecurityRejectedRequestsCount,n=0;i=2287,currentRead,UInt32
/Objects/Server/ServerDiagnostics/ServerDiagnosticsSummary/SecurityRejectedSessionCount,n=0;i=2279,currentRead,UInt32
/Objects/Server/ServerDiagnostics/ServerDiagnosticsSummary/ServerViewCount,n=0;i=2276,currentRead,UInt32
/Objects/Server/ServerDiagnostics/ServerDiagnosticsSummary/SessionAbortCount,n=0;i=2282,currentRead,UInt32
/Objects/Server/ServerDiagnostics/ServerDiagnosticsSummary/SessionTimeoutCount,n=0;i=2281,currentRead,UInt32
/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary,n=0;,,
/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/SessionDiagnosticsArray,n=0;i=3707,currentRead,SessionDiagnosticsDataType
/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/SessionDiagnosticsArray/SessionDiagnostics,n=1;s=Session_3274624042.SessionDiagnostics,currentRead,SessionDiagnosticsDataType
/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/SessionDiagnosticsArray/SessionDiagnostics/SessionId,n=1;s=Session_3274624042.SessionDiagnostics.SessionId,currentRead,NodeId
/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/SessionDiagnosticsArray/SessionDiagnostics/SessionName,n=1;s=Session_3274624042.SessionDiagnostics.SessionName,currentRead,String
/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/SessionDiagnosticsArray/SessionDiagnostics/ClientDescription,n=1;s=Session_3274624042.SessionDiagnostics.ClientDescription,currentRead,ApplicationDescription
/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/SessionDiagnosticsArray/SessionDiagnostics/ServerUri,n=1;s=Session_3274624042.SessionDiagnostics.ServerUri,currentRead,String
/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/SessionDiagnosticsArray/SessionDiagnostics/EndpointUrl,n=1;s=Session_3274624042.SessionDiagnostics.EndpointUrl,currentRead,String
/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/SessionDiagnosticsArray/SessionDiagnostics/LocaleIds,n=1;s=Session_3274624042.SessionDiagnostics.LocaleIds,currentRead,LocaleId
/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/SessionDiagnosticsArray/SessionDiagnostics/MaxResponseMessageSize,n=1;s=Session_3274624042.SessionDiagnostics.MaxResponseMessageSize,currentRead,UInt32
/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/SessionDiagnosticsArray/SessionDiagnostics/ActualSessionTimeout,n=1;s=Session_3274624042.SessionDiagnostics.ActualSessionTimeout,currentRead,Duration
/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/SessionDiagnosticsArray/SessionDiagnostics/ClientConnectionTime,n=1;s=Session_3274624042.SessionDiagnostics.ClientConnectionTime,currentRead,UtcTime
/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/SessionDiagnosticsArray/SessionDiagnostics/ClientLastContactTime,n=1;s=Session_3274624042.SessionDiagnostics.ClientLastContactTime,currentRead,UtcTime
/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/SessionDiagnosticsArray/SessionDiagnostics/CurrentSubscriptionsCount,n=1;s=Session_3274624042.SessionDiagnostics.CurrentSubscriptionsCount,currentRead,UInt32
/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/SessionDiagnosticsArray/SessionDiagnostics/CurrentMonitoredItemsCount,n=1;s=Session_3274624042.SessionDiagnostics.CurrentMonitoredItemsCount,currentRead,UInt32
/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/SessionDiagnosticsArray/SessionDiagnostics/CurrentPublishRequestsInQueue,n=1;s=Session_3274624042.SessionDiagnostics.CurrentPublishRequestsInQueue,currentRead,UInt32
/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/SessionDiagnosticsArray/SessionDiagnostics/TotalRequestCount,n=1;s=Session_3274624042.SessionDiagnostics.TotalRequestCount,currentRead,ServiceCounterDataType
/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/SessionDiagnosticsArray/SessionDiagnostics/UnauthorizedRequestCount,n=1;s=Session_3274624042.SessionDiagnostics.UnauthorizedRequestCount,currentRead,UInt32
/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/SessionDiagnosticsArray/SessionDiagnostics/ReadCount,n=1;s=Session_3274624042.SessionDiagnostics.ReadCount,currentRead,ServiceCounterDataType
/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/SessionDiagnosticsArray/SessionDiagnostics/HistoryReadCount,n=1;s=Session_3274624042.SessionDiagnostics.HistoryReadCount,currentRead,ServiceCounterDataType
/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/SessionDiagnosticsArray/SessionDiagnostics/WriteCount,n=1;s=Session_3274624042.SessionDiagnostics.WriteCount,currentRead,ServiceCounterDataType
/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/SessionDiagnosticsArray/SessionDiagnostics/HistoryUpdateCount,n=1;s=Session_3274624042.SessionDiagnostics.HistoryUpdateCount,currentRead,ServiceCounterDataType
/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/SessionDiagnosticsArray/SessionDiagnostics/CallCount,n=1;s=Session_3274624042.SessionDiagnostics.CallCount,currentRead,ServiceCounterDataType
/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/SessionDiagnosticsArray/SessionDiagnostics/CreateMonitoredItemsCount,n=1;s=Session_3274624042.SessionDiagnostics.CreateMonitoredItemsCount,currentRead,ServiceCounterDataType
/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/SessionDiagnosticsArray/SessionDiagnostics/ModifyMonitoredItemsCount,n=1;s=Session_3274624042.SessionDiagnostics.ModifyMonitoredItemsCount,currentRead,ServiceCounterDataType
/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/SessionDiagnosticsArray/SessionDiagnostics/SetMonitoringModeCount,n=1;s=Session_3274624042.SessionDiagnostics.SetMonitoringModeCount,currentRead,ServiceCounterDataType
/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/SessionDiagnosticsArray/SessionDiagnostics/SetTriggeringCount,n=1;s=Session_3274624042.SessionDiagnostics.SetTriggeringCount,currentRead,ServiceCounterDataType
/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/SessionDiagnosticsArray/SessionDiagnostics/DeleteMonitoredItemsCount,n=1;s=Session_3274624042.SessionDiagnostics.DeleteMonitoredItemsCount,currentRead,ServiceCounterDataType
/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/SessionDiagnosticsArray/SessionDiagnostics/CreateSubscriptionCount,n=1;s=Session_3274624042.SessionDiagnostics.CreateSubscriptionCount,currentRead,ServiceCounterDataType
/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/SessionDiagnosticsArray/SessionDiagnostics/ModifySubscriptionCount,n=1;s=Session_3274624042.SessionDiagnostics.ModifySubscriptionCount,currentRead,ServiceCounterDataType
/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/SessionDiagnosticsArray/SessionDiagnostics/SetPublishingModeCount,n=1;s=Session_3274624042.SessionDiagnostics.SetPublishingModeCount,currentRead,ServiceCounterDataType
/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/SessionDiagnosticsArray/SessionDiagnostics/PublishCount,n=1;s=Session_3274624042.SessionDiagnostics.PublishCount,currentRead,ServiceCounterDataType
/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/SessionDiagnosticsArray/SessionDiagnostics/RepublishCount,n=1;s=Session_3274624042.SessionDiagnostics.RepublishCount,currentRead,ServiceCounterDataType
/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/SessionDiagnosticsArray/SessionDiagnostics/TransferSubscriptionsCount,n=1;s=Session_3274624042.SessionDiagnostics.TransferSubscriptionsCount,currentRead,ServiceCounterDataType
/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/SessionDiagnosticsArray/SessionDiagnostics/DeleteSubscriptionsCount,n=1;s=Session_3274624042.SessionDiagnostics.DeleteSubscriptionsCount,currentRead,ServiceCounterDataType
/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/SessionDiagnosticsArray/SessionDiagnostics/AddNodesCount,n=1;s=Session_3274624042.SessionDiagnostics.AddNodesCount,currentRead,ServiceCounterDataType
/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/SessionDiagnosticsArray/SessionDiagnostics/AddReferencesCount,n=1;s=Session_3274624042.SessionDiagnostics.AddReferencesCount,currentRead,ServiceCounterDataType
/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/SessionDiagnosticsArray/SessionDiagnostics/DeleteNodesCount,n=1;s=Session_3274624042.SessionDiagnostics.DeleteNodesCount,currentRead,ServiceCounterDataType
/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/SessionDiagnosticsArray/SessionDiagnostics/DeleteReferencesCount,n=1;s=Session_3274624042.SessionDiagnostics.DeleteReferencesCount,currentRead,ServiceCounterDataType
/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/SessionDiagnosticsArray/SessionDiagnostics/BrowseCount,n=1;s=Session_3274624042.SessionDiagnostics.BrowseCount,currentRead,ServiceCounterDataType
/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/SessionDiagnosticsArray/SessionDiagnostics/BrowseNextCount,n=1;s=Session_3274624042.SessionDiagnostics.BrowseNextCount,currentRead,ServiceCounterDataType
/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/SessionDiagnosticsArray/SessionDiagnostics/TranslateBrowsePathsToNodeIdsCount,n=1;s=Session_3274624042.SessionDiagnostics.TranslateBrowsePathsToNodeIdsCount,currentRead,ServiceCounterDataType
/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/SessionDiagnosticsArray/SessionDiagnostics/QueryFirstCount,n=1;s=Session_3274624042.SessionDiagnostics.QueryFirstCount,currentRead,ServiceCounterDataType
/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/SessionDiagnosticsArray/SessionDiagnostics/QueryNextCount,n=1;s=Session_3274624042.SessionDiagnostics.QueryNextCount,currentRead,ServiceCounterDataType
/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/SessionDiagnosticsArray/SessionDiagnostics/RegisterNodesCount,n=1;s=Session_3274624042.SessionDiagnostics.RegisterNodesCount,currentRead,ServiceCounterDataType
/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/SessionDiagnosticsArray/SessionDiagnostics/UnregisterNodesCount,n=1;s=Session_3274624042.SessionDiagnostics.UnregisterNodesCount,currentRead,ServiceCounterDataType
/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/SessionDiagnosticsArray/SessionDiagnostics,n=1;s=Session_3274624047.SessionDiagnostics,currentRead,SessionDiagnosticsDataType
/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/SessionDiagnosticsArray/SessionDiagnostics/SessionId,n=1;s=Session_3274624047.SessionDiagnostics.SessionId,currentRead,NodeId
/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/SessionDiagnosticsArray/SessionDiagnostics/SessionName,n=1;s=Session_3274624047.SessionDiagnostics.SessionName,currentRead,String
/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/SessionDiagnosticsArray/SessionDiagnostics/ClientDescription,n=1;s=Session_3274624047.SessionDiagnostics.ClientDescription,currentRead,ApplicationDescription
/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/SessionDiagnosticsArray/SessionDiagnostics/ServerUri,n=1;s=Session_3274624047.SessionDiagnostics.ServerUri,currentRead,String
/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/SessionDiagnosticsArray/SessionDiagnostics/EndpointUrl,n=1;s=Session_3274624047.SessionDiagnostics.EndpointUrl,currentRead,String
/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/SessionDiagnosticsArray/SessionDiagnostics/LocaleIds,n=1;s=Session_3274624047.SessionDiagnostics.LocaleIds,currentRead,LocaleId
/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/SessionDiagnosticsArray/SessionDiagnostics/MaxResponseMessageSize,n=1;s=Session_3274624047.SessionDiagnostics.MaxResponseMessageSize,currentRead,UInt32
/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/SessionDiagnosticsArray/SessionDiagnostics/ActualSessionTimeout,n=1;s=Session_3274624047.SessionDiagnostics.ActualSessionTimeout,currentRead,Duration
/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/SessionDiagnosticsArray/SessionDiagnostics/ClientConnectionTime,n=1;s=Session_3274624047.SessionDiagnostics.ClientConnectionTime,currentRead,UtcTime
/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/SessionDiagnosticsArray/SessionDiagnostics/ClientLastContactTime,n=1;s=Session_3274624047.SessionDiagnostics.ClientLastContactTime,currentRead,UtcTime
/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/SessionDiagnosticsArray/SessionDiagnostics/CurrentSubscriptionsCount,n=1;s=Session_3274624047.SessionDiagnostics.CurrentSubscriptionsCount,currentRead,UInt32
/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/SessionDiagnosticsArray/SessionDiagnostics/CurrentMonitoredItemsCount,n=1;s=Session_3274624047.SessionDiagnostics.CurrentMonitoredItemsCount,currentRead,UInt32
/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/SessionDiagnosticsArray/SessionDiagnostics/CurrentPublishRequestsInQueue,n=1;s=Session_3274624047.SessionDiagnostics.CurrentPublishRequestsInQueue,currentRead,UInt32
/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/SessionDiagnosticsArray/SessionDiagnostics/TotalRequestCount,n=1;s=Session_3274624047.SessionDiagnostics.TotalRequestCount,currentRead,ServiceCounterDataType
/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/SessionDiagnosticsArray/SessionDiagnostics/UnauthorizedRequestCount,n=1;s=Session_3274624047.SessionDiagnostics.UnauthorizedRequestCount,currentRead,UInt32
/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/SessionDiagnosticsArray/SessionDiagnostics/ReadCount,n=1;s=Session_3274624047.SessionDiagnostics.ReadCount,currentRead,ServiceCounterDataType
/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/SessionDiagnosticsArray/SessionDiagnostics/HistoryReadCount,n=1;s=Session_3274624047.SessionDiagnostics.HistoryReadCount,currentRead,ServiceCounterDataType
/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/SessionDiagnosticsArray/SessionDiagnostics/WriteCount,n=1;s=Session_3274624047.SessionDiagnostics.WriteCount,currentRead,ServiceCounterDataType
/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/SessionDiagnosticsArray/SessionDiagnostics/HistoryUpdateCount,n=1;s=Session_3274624047.SessionDiagnostics.HistoryUpdateCount,currentRead,ServiceCounterDataType
/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/SessionDiagnosticsArray/SessionDiagnostics/CallCount,n=1;s=Session_3274624047.SessionDiagnostics.CallCount,currentRead,ServiceCounterDataType
/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/SessionDiagnosticsArray/SessionDiagnostics/CreateMonitoredItemsCount,n=1;s=Session_3274624047.SessionDiagnostics.CreateMonitoredItemsCount,currentRead,ServiceCounterDataType
/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/SessionDiagnosticsArray/SessionDiagnostics/ModifyMonitoredItemsCount,n=1;s=Session_3274624047.SessionDiagnostics.ModifyMonitoredItemsCount,currentRead,ServiceCounterDataType
/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/SessionDiagnosticsArray/SessionDiagnostics/SetMonitoringModeCount,n=1;s=Session_3274624047.SessionDiagnostics.SetMonitoringModeCount,currentRead,ServiceCounterDataType
/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/SessionDiagnosticsArray/SessionDiagnostics/SetTriggeringCount,n=1;s=Session_3274624047.SessionDiagnostics.SetTriggeringCount,currentRead,ServiceCounterDataType
/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/SessionDiagnosticsArray/SessionDiagnostics/DeleteMonitoredItemsCount,n=1;s=Session_3274624047.SessionDiagnostics.DeleteMonitoredItemsCount,currentRead,ServiceCounterDataType
/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/SessionDiagnosticsArray/SessionDiagnostics/CreateSubscriptionCount,n=1;s=Session_3274624047.SessionDiagnostics.CreateSubscriptionCount,currentRead,ServiceCounterDataType
/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/SessionDiagnosticsArray/SessionDiagnostics/ModifySubscriptionCount,n=1;s=Session_3274624047.SessionDiagnostics.ModifySubscriptionCount,currentRead,ServiceCounterDataType
/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/SessionDiagnosticsArray/SessionDiagnostics/SetPublishingModeCount,n=1;s=Session_3274624047.SessionDiagnostics.SetPublishingModeCount,currentRead,ServiceCounterDataType
